Producte;A;B
ACIDBRITE 9;3,4841;2,1568
ACIFOAM;4,0331;1,7638
ACIPLUSFOAM;6,274;1,89
ALUWASH;3,5413;2,1157
BASIC;32,295;3,8175
BRELTAK;42,036;3,7614
BRELTAK PLUS;36,238;4,2337
BRIGHTWASH;2,3319;0,1418
BRITESTAR;15,293;1,826
BRUSPRAY ACID;4,1549;2,1283
CAPTURE;4,7071;0,7258
CIPTON;11,678;1,5323
CLEANFOAM;4,3975;1,135
CLENEBRITE;15,029;2,4416
DELLADET;0,8383;0,1053
DELTAFOAM;0,9283;0,0685
DEOGEN;5,1556;0,4647
DESCALE;3,56;3,06
DIVERCLEAN SMS CHLOR;2,199;
DIVERFLOW OSA-N;11,3;0,35
DIVERFLOW OSA-P;3,18;1,58
DIVERFLOW SA;2,7968;0,2403
DIVERFOAM SANIBRIGHT;3,4186;
DIVERSPRAY;21,511;3,3293
DIVERWASH HD7;0,6189;0,229
DIVOFLOW NBE;9,3468;1,254
DIVOFLOW NTC;7,5468;0,6608
DIVOS 110;4,7543;0,381
DIVOS 116;6,2529;0,5114
DIVOS 120 CL;5,7877;0,6986
DIVOS 124;14,957;1,1952
DIVOS 2;18,499;1,7944
DIVOSAN BG ;28,498;2,0633
DIVOSAN DB;7,025;0,2304
DIVOSAN MEZZO;3,697;0,4218
DIVOSAN OMEGA;6,204;0,8564
DIVOSAN SUREDIS;1,2989;1,2667
DIVOSAN TC86;6,796;1,0266
DIVOSAN TRACE;12,25;-0,2875
DIVOSTAR QUATTRO;21,985;2,4483
ELEMENTAL;10,55;3,0111
ENDUROCHLOR;4,8302;0,3892
ENDUROCID;2,4442;2,5674
ENDUROECO;2,3192;2,5197
ENDUROFORCE;10,038;1,621
ENDUROPLUS;6,0929;1,3098
ENDUROSAFE;1,8578;0,6141
ENDUROSUPER;3,0421;0,3043
GLEAM;8,9062;1,6862
HD PLUSFOAM;18,64;2,8
HIGHSTAR;19,926;2,4918
HYPOFOAM;4,895;1,1267
JARCLEAN;2,332;0,3265
MACH 5;15,135;1,615
MULTICLEAN;0,367;0,1733
PASCAL;26,75;2,3389
POLYPRO;2,4203;0,3574
POWERFOAM;8,7036;8,85
POWERGEL;9,1086;0,6619
PROFILE;5,4104;0,8564
QUATTRO PLUS;21,907;2,2341
RAPID WASH;9,6212;0,9246
RECLAIM;0,9272;0,1697
REDES;2,7355;0,8028
RELEASE;2,514;1,1389
SAFEFOAM;0,622;0,444
SOLO;9,2854;0,6132
SPECTAK BPC;15,79;1,8027
SPECTAK G;20,305;3,9672
SUPERDILAC;21,088;2,2453
SUPERFOAM;4,0425;-0,4967
SUPERGEL;2,275;0,09
ULTRACLEAN;0,6728;
ULTRAFOAM;5,051;0,305
UNIFOAM;6,4377;0,5294
